input,output
What does the guide say about setting up a new hire's physical workspace?,"The guide emphasizes that ""New employees should come in on their first day to a CLEAN workspace and basic work necessities."" It provides a detailed ""Physical Space Checklist"" that includes:

- Desk and chair
- Computer or laptop
- Phone and extension list/staff directory
- Keys for building, office, and/or filing cabinet
- Name badge and holder
- Business cards
- Office supplies
- Handbooks and important materials
- Swag (water bottle, t-shirt, etc.)
- Physical mailbox
- Something special (plant, welcome sign, card, etc.)

The guide also includes a quote from a consultant who had a negative experience: ""I spent time on the first few days of my job cleaning out my desk from the person who was there before me. I actually had to bring in cleaning supplies from home. I didn't stay long at that place."""
How should organizations handle paperwork during onboarding?,"The guide offers these recommendations for handling paperwork during onboarding:

1. **Before the first day**: ""If possible, consider sending some or all of the necessary paperwork electronically (if they can electronically sign it) or physically (if they must physically sign it).""

2. **Managing complexity**: ""If there is any paperwork that you know is complicated, save it for the first week.""

3. **First day**: Schedule time with HR to ""finish paperwork"" as shown in the sample schedule

4. **Reassurance**: ""Again, please don't worry about getting this all read and signed before your first day. We wanted to give you the opportunity to familiarize yourself with it and ask any questions you may have.""

The guide also provides a sample paperwork email template that explains what forms are needed and how to complete them."
What does the guide say about the timing of communicating with new hires before they start?,"Regarding timing of pre-start communications, the guide states:

""Within a few days of accepting your official offer, new hires should know what to expect in the time leading up to their first day.""

It also notes: ""Every hiring process has its own timeline. No matter how long you have from the time of the offer to the first day, communicate with your new hires!""

For the first day schedule specifically: ""At least a few days before day one, share information about what new employees can expect on their first day.""

The guide emphasizes flexibility while maintaining communication: ""Please note: You can combine some or all of the suggestions offered in this section into one or two messages to streamline the communication process and make it more manageable for you and your new employees."""
What types of coffee meetings are suggested in the onboarding guide?,"The guide suggests arranging informal coffee meetings as part of the onboarding process. Specifically:

1. In the ""Short meetings"" section, it recommends: ""Coffee or short meetings with co-workers and stakeholders is an effective way for the new hire to get the lay of the land.""

2. The sample first-week schedule includes two coffee meetings on Wednesday morning:
   - ""Coffee with Fern""
   - ""Coffee with Sam""

These coffee meetings provide casual opportunities for new employees to build relationships with colleagues and learn about the organization in a relaxed setting."
What does the guide say about training new employees on organizational culture?,"The guide emphasizes the importance of communicating organizational culture during onboarding:

- During the ""organizational overview"" on the first day, supervisors should ""Go over the mission, vision, and values of the organization.""

- The onboarding evaluation asks new hires to rate whether they ""received essential information about [Organization's] culture, mission, vision, and values.""

- The guide encourages organizations to consider ""What is most important for new hires to know about our organizational culture?"" when planning their onboarding process.

- It also recommends explaining ""how the organization is structured, what each department does, and how they interact"" as well as ""how their roles fit into their departments and the organization.""

Through these elements, new employees should gain a clear understanding of the organizational culture."
What activities does the guide suggest for a new hire's first Friday?,"According to the sample schedule in the guide, a new hire's first Friday should include:

- Arrive and settle in at desk
- Meet with supervisor to set goals for 30/60/90 days
- Lunch with ""Our Team!""
- Chevruta-style learning lab with team

This schedule combines important planning activities (goal-setting), social engagement (team lunch), and cultural/learning experiences (Chevruta-style learning lab), providing a well-rounded end to the first week."
What does the guide say about the onboarding experience at Southwest Airlines?,"The guide includes a quote from Cheryl Hughey, Director of Onboarding at Southwest Airlines:

""We want to focus on creating a memorable experience for the new hire in the first year rather than processing them in the first few weeks.""

This quote highlights the guide's recommendation to view onboarding as a year-long process rather than just the initial orientation period."
What off-site activities are suggested in the onboarding guide?,"The sample weekly schedule in the guide includes several off-site activities:

1. Taking new hires out to lunch each day of the first week (with different colleagues)

2. On Thursday afternoon:
   - ""Off-site meeting with organizational partners and supervisor""
   - ""Debrief at off-site office and prep for evening event""
   - ""Leave for [Event] venue to observe""

These off-site activities help new employees experience different aspects of the organization's work, meet partners, and understand the broader context of their role."
What does the guide recommend including in the new hire introduction email to existing staff?,"The guide provides a sample internal introduction email that includes:

1. Announcement of the new team member joining and their start date
2. Information about which department they'll work in and who they'll report to
3. Expression of confidence that they'll be a great fit
4. Details about who will take them to lunch and when
5. Encouragement for everyone to drop by and say hello
6. A statement that ""[His/Her] success is our success""
7. Closing with excitement about greeting the new employee

The guide also recommends including the new hire's bio and possibly a headshot in this communication."
What approach to workspace setup is recommended for a new hire's first day?,"For the first day, the guide recommends:

1. Show new hires to their workspace after the initial welcome and tour
2. Show them the setup and provide logins
3. Give them time to settle in
4. Allow them to complete paperwork as they familiarize themselves with their workspace

In the sample schedule, specific time is allocated for ""See workspace"" (10:35 AM) and later ""Set up workspace"" (3:00 PM).

The guide emphasizes that the workspace should be clean and fully prepared before the new hire arrives: ""New employees should come in on their first day to a CLEAN workspace and basic work necessities."""
What does the guide say about setting expectations for new hires?,"The guide emphasizes the importance of setting clear expectations throughout the onboarding process:

- During the first week, supervisors should ""work together to set clear expectations for the first 30/60/90 days.""

- Clear expectations ""will help new hires navigate [the onboarding process] better.""

- Regular check-ins should include discussion about expectations: ""What can you expect from me? What do I expect from you?""

- Performance reviews should be discussed early so there are no surprises: ""Be open and upfront about the process, the timing, and the expectations.""

- The onboarding evaluation asks if new hires know what is expected of them by both supervisors and co-workers.

- At the end of year one, goals and expectations should be reassessed: ""What are appropriate goals for you in the coming year?"""
How does the guide suggest integrating new hires with their teams?,"The guide suggests several approaches for integrating new hires with their teams:

1. **Team lunches** - Schedule lunches with different team members throughout the first week

2. **Team bonding** - Include a ""team bonding experience"" in the first week schedule

3. **Buddy system** - Assign a peer-level buddy who isn't their supervisor

4. **Introductions** - Send an email introducing the new hire to all staff

5. **Friday team lunch** - End the first week with lunch with ""Our Team!""

6. **Learning together** - Include a ""Chevruta-style learning lab with team"" on Friday

7. **Cross-departmental meetings** - Introduce them to other departments they'll work with

8. **Observing work** - Let them observe team members in action through job shadowing

These activities help foster connections and relationships between the new employee and their colleagues."
What percentage of employees are more likely to remain at a company after a well-structured onboarding program?,"According to a 2010 Society for Human Resource Management study, **employees in a well-structured onboarding program are 69 percent more likely to remain at the company after three years**."
What percentage of staff turnover occurs in the first 45 days of employment?,Research shows that **22 percent of staff turnover occurs in the first 45 days of employment**.
What percentage of employees leave a new job after a disastrous first day?,**4 percent of employees leave a new job after a disastrous first day**.
Why is onboarding important for an organization?,"Onboarding is important for two key reasons:

1. **Saves money** - Hiring, training, and functioning at less than 100 percent adds up. Having new employees leave after a few months wastes valuable company resources.

2. **Maximizes productivity** - It is inefficient to hire new employees, train them, and wait for them to figure things out. A well-structured onboarding process minimizes time spent learning the ropes."
What is the difference between onboarding and orientation?,"**Orientation** might occur on the first day or during the first week to introduce new hires to policies and procedures. **Onboarding** is a more comprehensive process that:
- Socializes new employees to the organization
- Ensures they have necessary skills and knowledge
- Helps them become effective members of the organization"
How long does onboarding typically last?,Onboarding is **a longer process that typically lasts a year**. Most employees report feeling truly part of the organization after a full year has passed.
Whose responsibility is onboarding?,"**Onboarding is the responsibility of the entire organization, not just HR or the manager/supervisor**. The entire organization is impacted when new employees arrive, so many people need to be involved in onboarding efforts."
What are the benefits of effective onboarding?,"Benefits of effective onboarding include:
1. Engages employees early on
2. Builds trust and alignment
3. Encourages open communication from the start
4. Builds employment brand as a great place to work
5. Fosters connection and relationships between employees
6. Enables new employees to be productive faster
7. Decreases turnover and increases employee satisfaction"
What should be prepared for a new hire before their first day?,"Before a new hire's first day, organizations should prepare:

**Physical Space Checklist**:
- Desk and chair
- Computer or laptop
- Phone and extension list/staff directory
- Keys for building, office, and/or filing cabinet
- Name badge and holder
- Business cards
- Office supplies
- Handbooks and directories
- Swag items
- Physical mailbox

**Virtual Space Checklist**:
- Email setup (carefully to avoid overwhelming)
- Network access
- Access to shared folders
- Access to printers, faxes, scanners
- Added to appropriate internal lists"
What elements should be included in a successful first day?,"Elements of a successful first day include:
1. **Greet new hires at the door** - A friendly face will put them at ease
2. **Go over the day's schedule** - Take them to a comfortable space to review and answer questions
3. **Introduce them to their buddy** - Give them an opportunity to spend time together
4. **Give a tour** - Show functional areas, office layout, introduce people, explain security procedures
5. **Show their workspace** - Help them set up, provide logins, allow time to settle in
6. **Ensure welcome from senior leadership** - Even a brief meeting can make a positive impression"
What conversations should happen after the first 90 days?,"Conversations after the first 90 days should include:
1. **End of probationary period** - Discuss what is working and what needs to change
2. **Training assessment** - Discuss skills the new hire wants to develop in the next six months
3. **Onboarding debrief** - Review the onboarding process and gather feedback to improve future onboarding experiences"
What percentage of employees are more likely to remain at a company after a well-structured onboarding program?,"According to a 2010 Society for Human Resource Management study, **employees in a well-structured onboarding program are 69 percent more likely to remain at the company after three years**."
What percentage of staff turnover occurs in the first 45 days of employment?,Research shows that **22 percent of staff turnover occurs in the first 45 days of employment**.
What percentage of employees leave a new job after a disastrous first day?,**4 percent of employees leave a new job after a disastrous first day**.
What biblical quote is used in the onboarding guide?,"The guide quotes a passage from the Talmud: *""Every blade of grass has its angel that bends over it and whispers 'grow, grow.'""*"
What is Leading Edge's mission?,"Founded in 2014, Leading Edge seeks to **influence, inspire, and enable dramatic change in attracting, developing, and retaining top talent for Jewish organizations** so that the Jewish nonprofit sector may thrive."
What should be prepared on a new hire's desk?,"A new hire's desk should include:
- Desk and chair
- Computer or laptop
- Phone and extension list
- Keys
- Name badge
- Business cards
- Office supplies
- Handbooks
- Company swag
- Optional: **Something special like a welcome sign, desk plant, or personalized note**"
How long does onboarding typically last?,**Onboarding is a longer process that typically lasts a year**. Most employees report feeling truly part of the organization after a full year has passed.
What is the key difference between onboarding and orientation?,"**Orientation** is typically a one-day or week-long process introducing policies and procedures. **Onboarding** is a comprehensive year-long process that:
- Socializes employees
- Ensures skill development
- Helps employees become effective organizational members"
Whose responsibility is onboarding?,"**Onboarding is the responsibility of the entire organization, not just HR or the manager/supervisor**. Since the whole organization is impacted by new hires, multiple people should be involved in the onboarding process."
What are the key benefits of effective onboarding?,"Benefits of effective onboarding include:
1. Engaging employees early
2. Building trust and alignment
3. Encouraging open communication
4. Building a strong employer brand
5. Fostering employee connections
6. Enabling faster productivity
7. Decreasing turnover and increasing satisfaction"
What quote describes the importance of welcoming new employees?,"Pamela Stroko is quoted saying: *""People want to know they matter and they want to be treated as people. That's the new talent contract.""*"
What virtual preparations are needed for a new hire?,"Virtual onboarding preparations include:
- Carefully setting up email
- Providing network access
- Granting access to shared folders
- Ensuring access to office equipment
- Adding to appropriate internal communication lists"
What conversations should happen after 90 days?,"Conversations after 90 days should cover:
1. End of probationary period assessment
2. Training and development needs
3. Onboarding process feedback
4. Understanding job expectations
5. Discussing future goals"
What elements make a first day successful?,"A successful first day includes:
1. Greeting at the door
2. Reviewing the day's schedule
3. Introducing to a buddy
4. Giving a comprehensive tour
5. Showing workspace
6. Welcoming from senior leadership"
What topics should be discussed in the first year?,"First-year discussion topics include:
- Meeting initial goals
- Assessing workload
- Setting future goals
- Identifying development needs
- Reviewing performance
- Understanding job challenges
- Discussing job satisfaction
- Ensuring workplace safety"
What should the first week schedule include?,"A first week schedule typically includes:
- Arrival and workspace setup
- Meeting supervisor
- Organizational overview
- Multiple lunch meetings
- Cross-departmental introductions
- HR paperwork
- Initial project familiarization
- Team bonding activities"
How can organizations make new hires feel welcome?,"To make new hires feel welcome, organizations can:
- Prepare their workspace in advance
- Send welcome emails
- Provide company swag
- Arrange team lunches
- Create a personalized welcome
- Introduce them to colleagues
- Have senior leadership greet them
- Provide a comprehensive first-week schedule"
What are signs of an effective onboarding process?,"Signs of effective onboarding include:
- New hires feel eager to work
- Employees feel welcomed
- Clear communication of expectations
- Understanding of organizational culture
- Feeling productive quickly
- Establishing good working relationships
- Feeling supported by the team"
What should be included in an onboarding evaluation?,"An onboarding evaluation should assess:
- Eagerness to begin work
- Feeling of being welcomed
- Work environment perception
- Engagement and productivity
- Understanding of organizational culture
- Clarity of job responsibilities
- Timeliness of information
- Meeting expectations"
What is the goal of the first day?,"The goal of the first day is to:
- Acclimate new hires to the environment
- Give a sense of workplace layout
- Introduce key colleagues
- Complete necessary paperwork
- Make the new employee feel welcomed and comfortable"
What biblical or philosophical quote supports the importance of nurturing new employees?,"The document quotes from Pirkei Avot 2:21: *""You are not obligated to complete the work, but neither are you free to desist from it.""* This quote metaphorically supports the ongoing commitment to employee development and support."
How can organizations prevent early employee turnover?,"To prevent early turnover, organizations should:
1. Create a comprehensive onboarding process
2. Communicate clearly before the first day
3. Prepare the workspace in advance
4. Introduce the employee to key team members
5. Provide clear expectations
6. Offer support and regular check-ins
7. Make the new hire feel welcomed and valued"
What internal communications should be prepared for a new hire?,"Internal communications for a new hire should include:
- An all-staff email introducing the new employee
- Sharing their bio and potentially a headshot
- Communicating desk location, email, and phone number
- Encouraging colleagues to welcome them
- Setting up lunch invites
- Assigning a buddy or mentor
- Ensuring no one is surprised by the new hire's arrival"
What are some creative ways to make a new hire feel welcome?,"Creative ways to welcome a new hire include:
- Preparing a surprise at their desk
- Providing a Staples card for office supplies
- Framing their business card
- Leaving a personalized welcome note
- Creating a fun survey about their interests
- Sharing a unique bio in the weekly staff email
- Offering company swag
- Organizing a team lunch or bonding activity"
What safety considerations should be discussed during onboarding?,"Safety discussions during onboarding should cover:
1. Workplace harassment policies
2. Reporting procedures for inappropriate behavior
3. Creating a safe work environment
4. Establishing clear expectations for respectful interactions
5. Providing information about sexual harassment training
6. Ensuring employees know how to report concerns
7. Demonstrating the organization's commitment to safety"
What are the key elements of preparing a workspace for a new hire?,"Preparing a workspace for a new hire involves:
- **Physical Setup**:
  1. Clean desk and chair
  2. Functioning computer or laptop
  3. Phone with extension list
  4. Building and office keys
  5. Name badge and holder
  6. Business cards
  7. Basic office supplies

- **Virtual Setup**:
  1. Email account
  2. Network access
  3. Shared folder permissions
  4. Equipment access
  5. Internal communication list additions

- **Personal Touch**:
  1. Welcome sign
  2. Desk plant
  3. Personalized note
  4. Company swag
  5. Gift card to local coffee shop"
How should an organization structure the first week for a new employee?,"A comprehensive first week should include:
1. **Monday**:
   - Arrival and workspace setup
   - Schedule review
   - Buddy introduction
   - Organizational overview
   - Lunch with team members

2. **Tuesday**:
   - Meeting with supervisor
   - Discussion of job responsibilities
   - Initial project familiarization
   - Cross-departmental introductions

3. **Wednesday**:
   - Coffee meetings with key colleagues
   - Department-specific training
   - Ongoing project review

4. **Thursday**:
   - Stakeholder meetings
   - Continued onboarding activities
   - Team bonding experience

5. **Friday**:
   - Week recap
   - Goal-setting for first 30/60/90 days
   - Final check-in with supervisor"
What conversations should happen during the first year of employment?,"First-year conversations should cover:
1. **Performance and Goal Assessment**:
   - Reviewing initial goal achievements
   - Discussing workload effectiveness
   - Setting future objectives

2. **Professional Development**:
   - Identifying skill development needs
   - Exploring career growth opportunities
   - Creating personal development plan

3. **Job Satisfaction**:
   - Understanding job challenges
   - Discussing favorite and least favorite aspects
   - Exploring motivation and engagement

4. **Organizational Alignment**:
   - Reviewing understanding of mission
   - Assessing cultural integration
   - Ensuring continued organizational commitment"
What role does a 'buddy' play in the onboarding process?,"A buddy in the onboarding process is:
- A colleague at a similar seniority level
- Not the new hire's direct manager
- Responsible for:
  1. Providing initial workplace tour
  2. Offering informal guidance
  3. Helping the new hire understand workplace culture
  4. Serving as an approachable resource for questions
  5. Facilitating social integration into the team"
How can organizations make the first day less overwhelming for new hires?,"To make the first day less overwhelming, organizations should:
1. Create a structured but relaxed schedule
2. Greet the new hire warmly at the door
3. Provide a clear overview of the day's activities
4. Introduce them to a few key colleagues
5. Give time to settle into workspace
6. Avoid information overload
7. Ensure lunch is a comfortable, social experience
8. Schedule brief, manageable meetings
9. Allow time for paperwork and setup
10. End the day with a positive check-in"
What virtual preparations are crucial for a new hire?,"Critical virtual preparations include:
- **Communication Access**:
  1. Email account setup
  2. Instant messaging access
  3. Video conferencing credentials

- **Information Access**:
  1. Network login credentials
  2. Shared drive permissions
  3. Internal document repository access
  4. Company intranet access

- **Communication Protocols**:
  1. Add to relevant email lists
  2. Include in team communication channels
  3. Provide contact directories

- **Caution Notes**:
  1. Do not overwhelm with too many emails
  2. Ensure gradual, structured information introduction"
What are the psychological impacts of a well-designed onboarding process?,"A well-designed onboarding process psychologically supports new hires by:
1. **Reducing Anxiety**:
   - Providing clear expectations
   - Offering structured support
   - Creating a welcoming environment

2. **Building Confidence**:
   - Demonstrating organizational investment
   - Providing clear role understanding
   - Offering initial support structures

3. **Fostering Belonging**:
   - Introducing team members
   - Creating social integration opportunities
   - Showing organizational culture

4. **Establishing Trust**:
   - Transparent communication
   - Consistent support
   - Clear organizational values demonstration"
How should performance expectations be communicated during onboarding?,"Performance expectations should be communicated by:
1. **Initial Discussions**:
   - Clearly outline job responsibilities
   - Discuss specific role expectations
   - Explain performance review process

2. **Goal Setting**:
   - Establish 30/60/90 day objectives
   - Create measurable performance indicators
   - Align individual goals with organizational mission

3. **Continuous Feedback**:
   - Schedule regular check-ins
   - Provide constructive, supportive guidance
   - Offer opportunities for questions and clarification

4. **Transparency**:
   - Explain evaluation criteria
   - Discuss potential career development paths
   - Ensure understanding of misconduct and grievance policies"
Why is onboarding important according to the document?,"According to the document, effective onboarding is important because:

- It helps reduce costs associated with staff turnover
- It ensures that new employees are set up for success
- According to a 2010 Society for Human Resource Management study, ""employees in a well-structured onboarding program are 69 percent more likely to remain at the company after three years""
- 22% of staff turnover occurs in the first 45 days of employment
- 4% of employees leave a new job after a disastrous first day

The effects of onboarding last for years, making it worthwhile to invest time in developing the best approach for your organization."
What are the key elements of a successful first day for a new employee?,"# Elements of a Successful First Day

The document outlines 10 key elements for a successful first day:

1. **Greet new hires at the door** - A friendly face at the door puts them at ease
2. **Go over the schedule for the day** - Take them to a comfortable space to review the day's schedule and answer questions
3. **Introduce new hires to their buddies** - If assigned a buddy, introduce them and give time to spend together
4. **Give them a tour** - Show them around, point out functional areas, introduce people, and inform about facilities
5. **Show them their space** - Take them to their workspace, provide logins, and give time to settle in
6. **Ensure welcome from senior leadership** - Have senior leaders welcome the new hires
7. **Give them an overview of the organization** - Go over mission, vision, values, and organizational structure
8. **Take them out to lunch** - Have a person or small group take them to lunch
9. **Schedule a meeting with human resources** - Discuss work hours, benefits, and policies
10. **Arrange a check-in with the supervisor** - Schedule an end-of-day check-in to go over the first week's schedule"
What are the benefits of effective onboarding?,"# Benefits of Effective Onboarding

According to the document, effective onboarding provides seven key benefits:

1. Engages employees early on
2. Builds trust and alignment
3. Encourages open communication from the start
4. Builds your employment brand as a great place to work
5. Fosters connection and relationships between employees
6. Enables new employees to be productive faster
7. Decreases turnover and increases employee satisfaction"
How long does the onboarding process typically last?,"According to the document, onboarding does not happen in one day. It is part of a longer process that typically lasts a year. Most employees report feeling truly part of the organization after a full year has passed."
What should be communicated to new employees before their first day?,"# What to Communicate Before the First Day

The document recommends communicating five key things to new employees before their first day:

1. **The game plan** - Let them know what to expect in the time leading up to their first day
2. **Paperwork** - Send necessary paperwork electronically or physically
3. **Excitement** - Express how excited everyone is for their first day
4. **Arrival logistics** - Provide details about when to arrive, where to go, who to ask for, what to wear, and what to bring
5. **The plan** - Share information about what they can expect on their first day, including schedule, lunch plans, and bios of people they'll be meeting"
What should be included in a physical workspace for a new employee?,"# Physical Space Checklist

According to the document, a new employee's physical workspace should include:

- Desk and chair
- Computer or laptop
- Phone and extension list/staff directory
- Keys for building, office, and/or filing cabinet
- Name badge and name badge holder
- Business cards
- Office supplies (e.g., pens, paper, stapler, etc.)
- Handbooks, directories, and important materials
- Swag (e.g., water bottle, t-shirt, pen, journal, etc.)
- Physical mailbox
- Something special: A desk plant, welcome sign, signed card, box of candy, or personalized mug with the organization's logo"
What should organizations set up in the virtual space for new employees?,"# Virtual Space Checklist

According to the document, organizations should have IT professionals set up the following essentials for new employees' virtual offices:

- Email (with caution not to overwhelm their inbox before they start)
- Access to network
- Access to any shared (on the cloud) folders, documents, etc.
- Access to printers, faxes, scanners, etc.
- Lists - Make sure they are added to all appropriate internal lists for information distribution, especially the all-staff one"
What internal communications should happen before a new employee starts?,"# Internal Communications Checklist

The document indicates that the arrival of new hires should not be a surprise to anyone in the organization, especially people with whom they will be working. The internal communications checklist includes:

- Send an all-staff email introducing the new hire including their bio and possibly a headshot
- Communicate the new hire's desk location, email, and phone number
- Ask colleagues not to overwhelm the new hire with work emails, but encourage them to drop by to say hello or send a quick welcome email
- Set and send lunch invites to the group(s) of staff for the new hire's first day or first few days
- Assign a buddy who is not the new hire's direct manager and is at a comparable level of seniority"
What should happen during a new employee's first week?,"# Events to Schedule the First Week

The document recommends scheduling several events during a new employee's first week (or within the first month if they cannot all fit in week one):

1. **Cross-departmental meetings** - Meetings with other departments they'll work with
2. **Meetings with other stakeholders** - Introductions to relevant stakeholders
3. **Time for check-ins and regular feedback** - Weekly check-ins with direct supervisor
4. **Short meetings** - Coffee or brief meetings with co-workers and stakeholders
5. **Time to set expectations** - Set clear expectations for the first 30/60/90 days
6. **Job shadowing** - Have them shadow someone of similar seniority
7. **Meetings with the supervisor** - Observe their supervisor in action
8. **Time to observe a program/event** - See the organization's work in action
9. **Performance reviews discussion** - Transparency about the review process
10. **Review of organizational calendar** - Information about upcoming projects, meetings, trainings, or events
11. **Formal training in workplace safety** - Training on harassment policies and safety
12. **Something fun and energizing** - An opportunity to experience the fun side of the work culture"
What conversations should happen after an employee's first 90 days?,"# Conversations After the First 90 Days

The document recommends five key conversations to have after an employee's first 90 days:

1. **End of probationary period** - Discuss what is working and what needs to change
2. **Training assessment and development needs** - Discuss skills the employee may want to develop in the next six months
3. **Onboarding debrief** - Review the onboarding process and gather feedback to improve it for future hires
4. **Job goal assessment** - Review ongoing projects and previously established job goals
5. **Safety at work** - Continue discussion about workplace safety and reinforce the organization's commitment to creating a safe workplace"
What topics should be discussed in an employee's year-end review?,"# First Year on the Job - Review Topics

The document suggests discussing these topics at the end of the first year:

- Did you meet your goals? How do you feel about the workload?
- What are appropriate goals for you in the coming year?
- What else do you need to be successful?
- How would you like to challenge yourself on the job in the next year?
- What skills would you like to develop further?
- What do you think you did well this year? What could you have done better?
- How can we improve the performance review process?
- What is the hardest part of this job for you?
- What is your least favorite part of the job?
- What is your favorite part of the job?
- Do I feel safe at work and do I help others feel safe at work?"
What's the difference between orientation and onboarding?,"According to the document, onboarding and orientation are NOT the same. Orientation might occur on the first day or during the first week to introduce new hires to policies and procedures. In contrast, onboarding is a process that socializes new employees to the organization and ensures they have the necessary skills and knowledge to become effective members of the organization."
Why should organizations evaluate their onboarding process?,"According to the document, evaluating the onboarding process is essential for continuous improvement. It helps organizations know what works and what needs to change so that the onboarding process will be even better for the next new hire. The document includes a sample onboarding evaluation that covers how employees feel about their experience and what they know about the organization and their job."
"What is the significance of the biblical quote in the document: ""And you shall not oppress a stranger...""?","The document includes the biblical quote: ""And you shall not oppress a stranger, for you know the feelings of the stranger, since you were strangers in the land of Egypt"" (Exodus 23:9). This quote appears to emphasize the importance of welcoming newcomers with empathy and understanding. In the context of onboarding, it suggests that organizations should be mindful of the experience of new employees (""strangers"") and ensure they feel welcomed and supported, not overwhelmed or oppressed."
What is the role of a buddy in the onboarding process?,"According to the document, a buddy plays a supportive role in the onboarding process. The buddy should not be the new hire's direct manager and should be at a comparable level of seniority. They can give the new hire a tour, provide informal guidance, and help them get acclimated to the workplace. The document recommends introducing new hires to their buddies on the first day and giving them an opportunity to spend some time together. If job shadowing is an option, having the new hire shadow their buddy can help them get an idea of what their days may look like and form a deeper connection."
What kind of paperwork should be prepared for new employees?,"# Paperwork for New Employees

The document suggests the following paperwork may be needed for new employees:

1. I-9 form (requiring valid forms of ID)
2. W-4 form
3. Personal data form
4. Code of conduct certification
5. Personnel manual
6. Direct deposit form (requiring a voided check)
7. Signed offer letter
8. Other organization-specific requirements (e.g., nondisclosure agreement, photo release, etc.)

The document advises sending some or all of this paperwork electronically (if they can sign electronically) or physically (if they must physically sign it) before the first day. However, it cautions not to overwhelm new employees and to save complicated paperwork for the first week."
What should be included in a sample first day schedule?,"# Sample First Day Schedule

The document provides the following sample schedule for a new employee's first day:

- **9:30 AM**: Arrival
- **9:35 AM**: Review the day's schedule
- **9:50 AM**: Meet buddy and take a tour
- **10:35 AM**: See workspace
- **10:45 AM**: Organizational overview
- **12:00 PM**: LUNCH
- **1:00 PM**: Meet HR and finish paperwork
- **2:00 PM**: Department head meet-and-greet
- **3:00 PM**: Set up workspace
- **4:00 PM**: Supervisor check-in
- **5:00 PM**: Departure"
How should organizations handle safety and harassment policies during onboarding?,"According to the document, organizations should address safety and harassment policies in several ways during onboarding:

1. During the first day, HR should discuss all policies and procedures related to safety at work, including sexual harassment

2. Those coming into jobs that are at a higher risk for harassment (e.g., development roles, leadership roles, manager roles) should be briefed on the organization's written policies and procedures for reporting and addressing potential issues

3. All new hires should be reminded of when they are scheduled to participate in sexual harassment training

4. During the first week, formal training in workplace safety should be provided to demonstrate the importance of workplace safety

5. After the first 90 days, organizations should continue the discussion about the importance of feeling safe at work and reinforce the commitment to creating a workplace that feels safe for everyone

The document emphasizes that the key to developing an organizational culture where harassment is rare is to immediately establish with all new employees that safety is a top priority and that unacceptable actions will be addressed immediately."
What's the most important aspect of preparing for a new employee's first day?,"According to the document, ""The most important aspect of preparing for the first day is to communicate with and engage your new employees, and to prepare your organization for their arrival. You want your new employees to be excited and confident in their decision to join your organization and to feel set up for success. It is equally important that your current employees feel prepared and eager to welcome their new colleagues."""
What are some creative ideas for welcoming new employees?,"# Creative Welcome Ideas for New Employees

The document shares several creative ideas for welcoming new employees:

- Placing a bright flag on their desk that says ""Say hi! It's my first week here"" to encourage coworkers to introduce themselves
- Adding a desk plant, welcome sign, signed card, box of candy, or personalized mug with the organization's logo to their workspace
- Providing a gift certificate to a local restaurant or coffee shop in their top drawer as a surprise
- Setting a budget and letting them order any office supplies they want beyond the usual items
- Framing their business card with a note saying ""We're thrilled you're here!""
- Having them answer a fun survey about themselves (with questions like ""What was your most creative Purim/Halloween costume?"") and then including a version of their bio based on these answers in the weekly staff email

These personal touches help make new employees feel welcomed and valued from their first day."
What two main ways does successful onboarding benefit an organization?,"According to the document, successful and effective onboarding benefits the organization in two main ways:

1. **Saves money** – Hiring, training, and functioning at less than 100 percent adds up. Having new employees leave after a few months wastes valuable company resources. Organizations save money when onboarding is efficient and successful.

2. **Maximizes productivity** – Hiring new employees, training them, and waiting for them to figure things out is inefficient. It is in the organization's best interest to have an onboarding process that minimizes time spent learning the ropes."
